IME ORGANIZACIJE / PRODUCENTA,IME V BAZI CULTURE.SI,CULTURE.SI POVEZAVA NA ČLANEK,DAVČNA ŠT.,STATUS organizacije (javna/zasebna),SEDEŽ ORGANIZACIJE,ZNESEK PODPORE EU (v EUR),Podpora EU za (tujega) vodjo projekta (v EUR),Država vodje projekta,Opombe,IME PROJEKTA,NAZIV RAZPISA (šifrant 1),PODROČJE PROJEKTA (šifrant 2),STATUS organizacije/producenta V PROJEKTU (Vodja / Partner),LETO razpisa (ko se pridobi podpora EU),Ime programa EU,Uradna oznaka oz. naziv razpisa,Opomba (podnaslov oz. kratek opis razpisa),Ime programa EU (F),Področje projekta (F),Šifra 2 (F)
"BLITZ FILM & VIDEO DISTRIBUTION, druzba za tgrovino, d.o.o.",Blitz_Film_and_Video_Distribution,http://www.culture.si/en/Blitz_Film_and_Video_Distribution,88939065,zasebna,Ljubljana,"€ 12.798,00",,,,Avtomatična distribucija v 2011,23,9,V,2011,MEDIA (2007-2013),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJ V KULTURI CVETKA FLAKUS S.P.,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 10.511,00",,,,Avtomatična distribucija v 2011,23,9,V,2011,MEDIA (2007-2013),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CINEMANIA GROUP, druzba za filmsko tehnologijo, d.o.o.",Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 10.000,00",,,,THE KING'S SPEECH (UK),22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 9.000,00",,,,ORLA FROSNAPPER,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CINEMANIA GROUP, druzba za filmsko tehnologijo, d.o.o.",Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 7.405,00",,,,Avtomatična distribucija v 2011,23,9,V,2011,MEDIA (2007-2013),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
Družba Piano,Piano_Publishing_House,http://www.culture.si/en/Piano_Publishing_House,41884400,zasebna,Ljubljana,"€ 5.334,71",,,,Prevodni projekt - 1 knjiga,4  ,41,V,2011,Kultura (2007-2013),Sklop 1.2.2,Podpora za projekte literarnega prevajanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje","knjiga, branje, prevajanje - projekt prevajanja"
"CINEMANIA GROUP, druzba za filmsko tehnologijo, d.o.o.",Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 4.000,00",,,,CIRKUS COLUMBIA (BE),22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"FIVIA, podjetje za distribucijo, produkcijo, intelektualne storitve in trgovino, d.o.o. ",Cenex/Fivia,http://www.culture.si/en/Cenex/Fivia,38788152,zasebna,Vojnik,"€ 4.000,00",,,,LES NEIGES DU KILIMANDJARO (AKA LES PAUVRES GENS),22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"FIVIA, podjetje za distribucijo, produkcijo, intelektualne storitve in trgovino, d.o.o. ",Cenex/Fivia,http://www.culture.si/en/Cenex/Fivia,38788152,zasebna,Vojnik,"€ 4.000,00",,,,MIENTRAS DUERMES,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DRUSTVO ZA OŽIVLJANJE ZGODBE 2 KOLUTA,2_Reels_-_Association_for_Reanimation_of_Storytelling,http://www.culture.si/en/2_Reels_-_Association_for_Reanimation_of_Storytelling,33976155,zasebna,Ljubljana,"€ 3.701,00",,,,Avtomatična distribucija v 2011,23,9,V,2011,MEDIA (2007-2013),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CINEMANIA GROUP, druzba za filmsko tehnologijo, d.o.o.",Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 3.500,00",,,,JANE EYRE,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CINEMANIA GROUP, druzba za filmsko tehnologijo, d.o.o.",Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 3.000,00",,,,"EU CAND VREAU SA FLUIER, FLUIER (RO)",22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 3.000,00",,,,PINA,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"FIVIA, podjetje za distribucijo, produkcijo, intelektualne storitve in trgovino, d.o.o. ",Cenex/Fivia,http://www.culture.si/en/Cenex/Fivia,38788152,zasebna,Vojnik,"€ 3.000,00",,,,THE IRON LADY,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CINEMANIA GROUP, druzba za filmsko tehnologijo, d.o.o.",Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 2.500,00",,,,ANOTHER YEAR (UK),22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CINEMANIA GROUP, druzba za filmsko tehnologijo, d.o.o.",Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 2.250,00",,,,TAMBIEN LA LLUVIA,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CINEMANIA GROUP, druzba za filmsko tehnologijo, d.o.o.",Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 2.250,00",,,,SUBMARINE,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJA V KULTURI CVETKA FLAKUS SP,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 2.250,00",,,,"OSLO, 31. AUGUST",22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CANKARJEV DOM Kulturni in kongresni center, Ljubljana","Cankarjev_dom,_Cultural_and_Congress_Centre","http://www.culture.si/en/Cankarjev_dom,_Cultural_and_Congress_Centre",27164136,javna,Ljubljana,"€ 2.083,00",,,,Avtomatična distribucija v 2011,23,9,V,2011,MEDIA (2007-2013),Distribucija - avtomatična shema,Podpora distributerjem za ponovne naložbe v koprodukcijo ali distribucijo nenacionalnih filmov iz drugih evropskih držav; temelji na  doseženih rezultatih distribucije tujih evropskih filmov v preteklem letu,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"CINEMANIA GROUP, druzba za filmsko tehnologijo, d.o.o.",Cinemania_Group,http://www.culture.si/en/Cinemania_Group,15628949,zasebna,Ljubljana,"€ 2.000,00",,,,HAEVNEN,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 2.000,00",,,,DREI (DE),22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 2.000,00",,,,AURORA (RO),22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJA V KULTURI CVETKA FLAKUS SP,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 2.000,00",,,,CEA MAI FERICITA FATA DIN LUME (RO),22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.500,00",,,,POTICHE (FR),22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJA V KULTURI CVETKA FLAKUS SP,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 1.500,00",,,,ATTENBERG,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJA V KULTURI CVETKA FLAKUS SP,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 1.500,00",,,,GIANNI E LE DONNE,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJA V KULTURI CVETKA FLAKUS SP,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 1.500,00",,,,TOMBOY,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.300,00",,,,LA SOLITUDINE DEI NUMERI PRIMI,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.250,00",,,,LE GAMIN AU VELO,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.250,00",,,,MELANCHOLIA,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.250,00",,,,HABEMUS PAPAM,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.250,00",,,,LE HAVRE,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.250,00",,,,THE WOMAN IN THE FIFTH,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
DEMIURG POSREDOVANJE IN PROMOCIJA V KULTURI CVETKA FLAKUS SP,Demiurg_Film_Distribution,http://www.culture.si/en/Demiurg_Film_Distribution,SI 386 77 865,zasebna,Črni vrh,"€ 1.100,00",,,,SUBMARINO,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.000,00",,,,BALADA TRISTE DE TROMPETA (ES),22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
CONTINENTAL FILM d.o.o.,Continental_Film_Ltd/Con_Film_Ltd,http://www.culture.si/en/Continental_Film_Ltd/Con_Film_Ltd,21833192,zasebna,Ljubljana,"€ 1.000,00",,,,A TORINOI LO,22,9,V,2011,MEDIA (2007-2013),Distribucija - selektivna shema,Podpora distributerjem za naložbe v oglaševanje in distribucijo nenacionalnih filmov iz drugih evropskih držav ,MEDIA Plus (2001-2006) ali MEDIA (2007-2013),filmski in avdiovizualni projekti,distribucija
"Big Band Krško, kulturno društvo",x,,35203722,zasebna,Krško,,"€ 182.725,00",HU,,Bigband Around Europe ,2  ,2,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Gledališče Glej,Glej_Theatre,http://www.culture.si/en/Glej_Theatre,38017423,zasebna,Ljubljana,,"€ 200.000,00",CZ,,"DNA, Developement of New Art, Continuum 2011-2013",2  ,2,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,,"€ 1.474.881,00",IT,,Caravan. Artists on the Road,1  ,2,P,2011,Kultura (2007-2013),Sklop 1.1,Podpora za projekte večletnega sodelovanja (3-5 let),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Kulturno umetniški zavod Delavnica Maribor,Delavnica_Association,http://www.culture.si/en/Delavnica_Association,55376053,zasebna,Maribor,,"€ 200.000,00",SI,,Connecting Through Music with Maribor International Orchestra 2012,2  ,2,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
"Maska, zavod za založniško, kulturno in producentsko dejavnost","Maska,_Performing_Arts_Journal","http://www.culture.si/en/Maska,_Performing_Arts_Journal",72537604,zasebna,Ljubljana,,"€ 141.680,00",AT,,Up to Nature,2  ,2,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
RTV Slovenija,Radio-Television_Slovenia_(RTV_Slovenia),http://www.culture.si/en/Radio-Television_Slovenia_%28RTV_Slovenia%29,29865174,javna,Ljubljana,,"€ 826.235,00",FR,,An Orchestra Network for Europe – ONE goes places,1  ,2,P,2011,Kultura (2007-2013),Sklop 1.1,Podpora za projekte večletnega sodelovanja (3-5 let),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Zavod Ars Ramovš ,Ars Ramovš,http://www.culture.si/en/Ars_Ramov%C5%A1,51807041,zasebna,Ljubljana,,"€ 200.000,00",AT,,"Project PurPur – European
sound interchange",2  ,2,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Kulturno umetniško društvo C3,KUD C3 Society for Culture and Arts,http://www.culture.si/en/KUD_C3_Society_for_Culture_and_Arts,,zasebna,Ljubljana,,"135.000,00 €",CZ,,CULBURB - Cultural Acupuncture Treatment for Suburbs,2  ,5,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"oblikovanje, arhitektura in uporabne umetnosti","oblikovanje, arhitektura in uporabne umetnosti"
"Aksioma, Zavod za sodobne umetnosti",Aksioma Institute,http://www.culture.si/en/Aksioma_Institute,54559111,zasebna,Ljubljana,,"€ 200.000,00",DE,,ARSCOPE: Art-Science Co-Operation Environement,2  ,7,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
IRZU - Inštitut za raziskovanje zvočnih umetnosti,Institute_for_Sonic_Arts_Research,http://www.culture.si/en/Institute_for_Sonic_Arts_Research,80561225,zasebna,Ljubljana,,"110.000,00",BE,,Sounds of Europe,2  ,7,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,,"€ 200.000,00",IT,,European Public Art Project,2  ,7,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,,"€ 199.054,50",UK,,Robots and Avatars – Collaborative and Intergenerational Futures,2  ,7,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
Zavod Exodos,Exodos_Institute,http://www.culture.si/en/Exodos_Institute,91717086,zasebna,Ljubljana,,"€ 200.000,00",SE,,Four Corners: Research & Developement,2  ,7,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
Zavod Projekt Atol,Projekt_Atol_Institute,http://www.culture.si/en/Projekt_Atol_Institute,20971770,zasebna,Ljubljana,,"€ 200.000,00",BE,,Resilients,2  ,7,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
ZRC SAZU - Slovenska akademija znanosti in umetnosti,"Scientific Research Centre (ZRC SAZU), Slovene Academy of Science and Arts","http://www.culture.si/en/Scientific_Research_Centre_%28ZRC_SAZU%29,_Slovene_Academy_of_Science_and_Arts",54785758,javna,Ljubljana,,"€ 196.100,00",CZ,,VIA VILLAS – Enrich Architectual Heritage Via Villas,2  ,7,P,2011,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
KID KIBLA,KIBLA_Multimedia_Centre,http://www.culture.si/en/KIBLA_Multimedia_Centre,93057237,zasebna,Maribor,"€ 754.273,00",,,,Soft Control,1  ,7,V,2012,Kultura (2007-2013),Sklop 1.1,Podpora za projekte večletnega sodelovanja (3-5 let),Kultura 2000 (2000-2006) ali Kultura (2007-2013),interdisciplinarni projekti,interdisciplinarni projekti
Zavod Flota,Flota_Institute,http://www.culture.si/en/Flota_Institute,63717026,zasebna,Murska Sobota,"€ 200.000,00",,,,Beyond Front@: Bridging New Territories,2  ,2,V,2012,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Turizem Bohinj - Zavod za pospeševanje turizma,x,,84521147,javna,Bohinj,"€ 200.000,00",,,,Wildflower Europe: celebrating rural cultures & landscapes,2  ,1,V,2012,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),kulturna dediščina,kulturna dediščina
Mini teater,Mini_Theatre,http://www.culture.si/en/Mini_Theatre,43211127,zasebna,Ljubljana,"€ 199.990,00",,,,Puppet Nomad Academy III,2  ,2,V,2012,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),uprizoritvene umetnosti,uprizoritvene umetnosti
Društvo slovenskih pisateljev,Slovene_Writers'_Association,http://www.culture.si/en/Slovene_Writers%E2%80%99_Association,52715850,zasebna,Ljubljana,"€ 199.656,00",,,,Crossroads of European Literature,2  ,40,V,2012,Kultura (2007-2013),Sklop 1.2.1,Podpora za projekte sodelovanja (do 24 mesecev),Kultura 2000 (2000-2006) ali Kultura (2007-2013),"knjiga, branje, prevajanje ","knjiga, branje, prevajanje - projekt sodelovanja"
